H,T,D,P,Dir,V
298,303.8,293.337744,977.9631452,   130.5,     1.9
  317,303,292.866618,975.7475152,   137.2,     2.1
  549,300.8,292.0930978,949.0197461,   126.7,     1.8
  785,298.6,291.545101,922.4425246,   127.1,     1.8
 1026,296.3,291.1581734,895.9274432,   117.2,     1.4
 1522,291.6,290.0125631,843.297366,    98.3,     1.1
 2040,288.3,287.1402042,791.0341854,    84.4,     1.1
 2587,285.9,281.906536,738.7241555,   161.2,     0.8
 3164,282.5,279.0584787,686.6173678,   214.9,     0.6
 3776,279,275.5295554,634.643702,   296.3,     0.9
 4429,275.2,269.1852166,582.7488124,   328.2,     1.9
 5126,271.6,267.1781427,531.2041043,   311.4,     1.9
 5881,267.7,264.1613018,479.6006019,   204.6,     2.0
 6701,262.9,259.520983,428.2317157,   173.4,     2.8
 7599,257,254.7061547,377.183319,   169.0,     3.3
 8594,250.9,245.5673399,326.493898,   182.8,     5.7
 9708,241.9,238.5538186,276.4373024,   164.1,     6.0
10971,231.4,228.1018,227.3960553,   191.6,     8.4
12442,218.8,218.2503659,179.4141935,   178.5,     8.8
14224,204.2,203.2456397,132.6213721,   169.4,     9.2
16595,196.6,189.1579699,86.17866199,    84.1,     3.7
20608,202.4,183.9044025,37.90517517,    74.4,    16.6
26396,222.1,177.4251399,8.716493288,    87.3,    22.3
